,Tweets,Locations,Polarity,lenght
152,dda OFFICIAL No road no drainage system for rain water No cleaning Now we decided daily we will make complaint Pocket 4A Rohini Sector 23 lane 1 dda,New Delhi Delhi,-1,148
153, 0707 Painful Reminds me of villages declared urban left rural in Delhi,Paprawat Village,-1,71
154,pollution OFFICIAL The issue has been duly noted and forwarded to the concerned department,New Delhi India,0,90
155, Sameer Complaint complaint 12999984 All Sector 24 Rohini roads are filled with dust and pits and creating dust polluti,,-1,119
156,dda sir please tell me is there inscript in hindi typing for stenographer grade D,,0,81
157,Delhi will get MPD 2041 but 100s of villages that were urbanized for it are left intact without any planning while the city expands further CYCLE of unplanned urbanization continues dda India MoHUA,New Delhi India,0,197
158, dda AnilKumarINC,New Delhi,0,17
159,Sameer Complaint complaint 12999984 All Sector 24 Rohini roads are filled with dust and pits and creating dust pollution very bad for health also pollution dda OFFICIAL,India,-1,168
160,dda AnilKumarINC Sure Sir have escalated concerns to State and Center DDA assured to look into this matter Forwarded that email to you just now Thanks,New Delhi,1,150
161,dda AnilKumarINC Do let me know if I can be of any assistance,Kasturba Nagar Vidhan Sabha,0,61
162, pl join webinar Solid Waste Management and a Way Forward India Registration Link INDI,,-1,86
163,dda As per DDA s direct recruitment 2020 there were total vaccancy of 48 posts under Section officer Hort In declared results 71 candidates are shortlisted for document verification is there is any chances of increased vaccancies from backlog or it will remain same,INDIA,1,265
164, pl join webinar Solid Waste Management and a Way Forward India Registration Link INDI,,-1,86
165,dda Dear sir Recently A list of selected candidates for PATWARI has been released but below point not provided yet 1 cut off marks 2 normalised marks of each candidates So please provide these for better transparency in recruitment process Thank you,,1,249
166,dda pollution I request all official to look at Yamuna pollution and it s revival Its 7th year of AAP yet no real solution of Yamuna cleaning Plants should be there on bank,,-1,172
167,dda AnilKumarINC Okay thanks team at least government has to give relief for now,New Delhi,1,80
168,AnilKumarINC The issue has been duly noted and forwarded to the concerned department,New Delhi India,0,84
169, dda Water pump in front of Gate 1 Pocket 3 Sector 34 Rohini used to supply water in plants and green area i,,-1,108
170, shot 210206 Kim Woosoek Show Music Core Interview KIMWOOSEOK Official,,0,70
171,dda Fwd Request To Your Kind Self Please Accept Our Application Of Allotment Of This Said Plot In DDA PDR Rates Basis Policy Ref No PMOPG E 2021 0036715,,1,152
172,The issue has been duly noted and forwarded to the concerned department,New Delhi India,0,71
173,dda Request you to pls share ref ID for the future reference,,0,60
174, dda Water pump in front of Gate 1 Pocket 3 Sector 34 Rohini used to supply water in plants and green area i,New Delhi India,-1,108
175,dda Water pump in front of Gate 1 Pocket 3 Sector 34 Rohini used to supply water in plants and green area is not working since last 3 years Concerned officer dept neither fix issue nor provide any alternative solution Kindly take fix this issue on priority basis,Khurja Ghaziabad Meeut Rohini,1,262
176, dda Sir please provide more font for stenographer,MAINPURI U P,1,50
177,dda official dda Dear sir plz tell us that backspace will be considered as key depression in DDA JSA typing test on 16 February 2021 or not,,0,139
178,21st century National Capital of India And residents are still dependent on water tanker technology of Which year do you plan to upgrade to distribution lines for piped water supply in dda flats of E1 and E2 at vasant kunj,India,0,222
179,We are extremely sorry for this experience We shall look into the matter and make sure you don t have to go through this again Going further please register all encroachment related complaints on the DDA311 app,New Delhi India,0,210
180,you promised us a professional running sythetic track Where is it dda FitIndiaMovement fitIndia,,1,95
181, you promised us a professional running sythetic track Where is it dda FitIndiaMo,,1,81
182,dda sir please have a look of footpath encroached by shopkeepers in uttam nagar main road near metro pillar no 675 to 680 Pedestrians life is in danger please assist us to clear footpath Thanks,,1,193
183,dda Kindly look into this matter to sort the issues of shopkeepers why you getting affecting them This is harrasment now,New Delhi,1,120
184, dda Sir DDA has conducted computer based exam for the post of Stenographer But there is only one hindi typing,,0,110
185, dda Sir DDA has conducted computer based exam for the post of Stenographer But there is only one hindi typing,,0,110
186,Sir Why FIR has not been registered by even after 8 months agnst scamster amp other corrupt DDA officials on request made by CVO of dda Ref PE F 27 06 19 Vig AVO 12 863 Dt 19 6 2020 to SHO Kotla MubarakPur ND News,New Delhi,-1,213
187,dda can u tell please when document verification will be done for DDA LEGAL ASSISTANT exam 2020,Punjab India,1,95
188,Sir Why FIR has not been registered by even after 8 months agnst scamster amp other corrupt DDA officials on request made by CVO of dda Ref PE F 27 06 19 Vig AVO 12 863 Dt 19 6 2020 to SHO Kotla MubarakPur ND,New Delhi,-1,208
189,Dear Why FIR has not been registered by Delhi Police so far agnst scamster amp other corrupt DDA officials even after 8 months on request made by CVO of dda Ref PE F 27 06 19 Vig AVO 12 863 Dt 19 6 2020 to SHO Kotla MubarakPur ND,New Delhi,-1,229
190,Inform why FIR has not been registered by Delhi Police so far agnst scamster amp corrupt DDA officials even after 8 months on request made by CVO of dda Ref PE F 27 06 19 Vig AVO 12 863 Dt 19 06 2020 to SHO Kotla MubarakPur ND,,-1,226
191,dda Kheda park Hastsal Vihar Uttam Nagar ND 59 Park s all lights not working properly Please provide electrician s number so that we can complain dda sahibsingh,,0,160
192,dda Sir please provide more font for stenographer,,1,49
193,dda sir please increase date of skill test of steno exam 2019 please take 30 days for practices due to epidemic practice has stoped Sir plz increase date of examination I shall obliged for it,,-1,191
194,dda good morning sir,,1,20
195, According to SC SHOP Plots sealing was wrong,,-1,45
196, MLAgk Supreme Court Very clear that sealing should not have taken,,1,66
197, WE THANK THE HON CJI TO UNDERSTAND OUR PAIN AND also of UNDEANDING OF THE MATTER at hand dda,,0,93
198, dda Sir DDA has conducted computer based exam for the post of Stenographer But there is only one hindi typing,,0,110
199,Great step But then why dda is still charging surcharge on HIG,India,1,62
200,dda When the cutoff marks and marks of all candidates appeared in DDA patwari exam will be released,New delhi,0,99
201,dda hindu Thank you Some hope with pain Request everyone to understand situation we are facing and going,New Delhi India,0,104
202,dda I applied for dda stenographer hindi steno but in written result my skill medium is english What should i do plzz reply,,0,123
203, dda Respected sir My name is Gaurav kumar I filled my DDA steno form with English shorthand language but,,1,105
204,dda Sir i am confused of jsa retest of typing Spacebar 1 keystroke Does key stroke include spacebar,Uttar Pradesh India,-1,99
205,dda I haven t received my TA BILL yet,,0,37
